"CTYNAME","pop2021","GrowthRate","popDensity"
"Multnomah County","820421","11.2773","438.6283"
"Washington County","610968","14.9218","326.6468"
"Clackamas County","423729","12.4582","226.5417"
"Lane County","389103","10.5658","208.0293"
"Marion County","352630","11.6126","188.5294"
"Jackson County","224010","10.1647","119.7643"
"Deschutes County","209266","32.6635","111.8816"
"Linn County","134345","14.9319","71.8260"
"Douglas County","112712","4.7208","60.2601"
"Yamhill County","108566","9.3269","58.0435"
"Benton County","94275","10.1678","50.4030"
"Polk County","88271","16.8564","47.1930"
"Josephine County","88161","6.3731","47.1342"
"Umatilla County","79008","3.8295","42.2407"
"Klamath County","69340","4.5505","37.0718"
"Coos County","64917","3.0314","34.7071"
"Columbia County","52572","6.5181","28.1070"
"Lincoln County","51438","11.8242","27.5007"
"Clatsop County","41250","11.2220","22.0538"
"Malheur County","30607","-2.3669","16.3637"
"Tillamook County","27688","9.6381","14.8031"
"Wasco County","27182","7.5067","14.5325"
"Union County","27103","5.3321","14.4903"
"Jefferson County","25674","18.5264","13.7263"
"Crook County","25562","22.3999","13.6664"
"Hood River County","23612","5.1994","12.6239"
"Curry County","23185","3.6062","12.3956"
"Baker County","16304","1.2105","8.7167"
"Morrow County","12089","7.8508","6.4632"
"Lake County","7937","0.7873","4.2434"
"Harney County","7595","2.6351","4.0606"
"Wallowa County","7508","7.0736","4.0141"
"Grant County","7227","-3.1752","3.8638"
"Gilliam County","1950","3.6132","1.0425"
"Sherman County","1940","9.0500","1.0372"
"Wheeler County","1294","-10.5736","0.6918"